date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,total_injection
2020-08-03,545163,10927.55957,10831.150391,10848.639648,10902.799805,93,0.04886865593972073,53379
2020-08-04,700360,10941.910156,10852.900391,10897.889648,10941.169922,88,0.05456473224428268,172068
2020-08-05,,11002.110352,10943.719727,10967.870117,10998.400391,100,0.05457425479987923,18760
2020-08-06,765154,11121.19043,10963.410156,10989.980469,11108.070313,86,0.048984943371348275,203317
2020-08-07,759878,11126.040039,10920.370117,11072.530273,11010.980469,85,0.053947900630562706,18346
2020-08-10,,11040.240234,10849.459961,11033.730469,10968.360352,82,0.04939599167809038,20244
2020-08-11,748741,10989.419922,10762.709961,10942.660156,10782.820313,84,0.05824283238458511,156176
2020-08-12,758066,11036.719727,10877.160156,10878.120117,11012.240234,79,0.0431746230069705,36583
2020-08-13,780905,11124.849609,11007.5,11026.860352,11042.5,80,0.048971271613328406,215239
2020-08-14,776288,11058.44043,10972.05957,11042.240234,11019.299805,83,0.06832686244882279,18611
2020-08-17,549484,11144.530273,11080.299805,11083.25,11129.730469,80,0.053330751709905824,178007
2020-08-18,688246,11230.620117,11103.830078,11170.75,11210.839844,77,0.053642804604340524,141746
2020-08-19,750559,11257.419922,11132.099609,11214.799805,11146.459961,75,0.06427400557737045,35473
2020-08-20,,11283.620117,11090.030273,11096.400391,11264.950195,75,0.06752430259019913,192011
2020-08-21,694578,11326.209961,11245.44043,11258.44043,11311.799805,75,0.0605156991297848,18709
2020-08-24,577877,11462.049805,11297.530273,11449.25,11379.719727,73,0.06028243438606539,17731
2020-08-25,,11468.259766,11343.040039,11370.230469,11466.469727,73,0.052649414607198824,132897
2020-08-26,756363,11672.049805,11507.459961,11516.620117,11665.05957,70,0.048672216892711256,36667
2020-08-27,757996,11730.009766,11551.009766,11688.19043,11625.339844,73,0.052273862909152584,188416
2020-08-28,772054,11708.769531,11634.769531,11689.280273,11695.629883,71,0.05097313171812715,17660
2020-08-31,694395,11829.839844,11697.419922,11718.80957,11775.459961,70,0.0696350583049653,130756
2020-09-01,755739,11945.719727,11794.780273,11850.959961,11939.669922,68,0.05848662068769375,202718
2020-09-02,758677,12074.05957,11836.179688,12047.259766,12056.44043,67,0.05977965681517313,18018
2020-09-03,775119,11894.400391,11361.360352,11861.900391,11458.099609,67,0.04904273201787427,210399
2020-09-04,,11531.179688,10875.870117,11396.240234,11313.129883,65,0.05506025908717389,19617
2020-09-08,691952,11131.5,10837.200195,10900.700195,10847.69043,67,0.04378595312461177,178202
2020-09-09,,11217.69043,10970.450195,11064.759766,11141.55957,67,0.046508484095331454,36906
2020-09-10,819431,11299.530273,10875.019531,11235.530273,10919.589844,66,0.045134520873497556,220597
2020-09-11,859058,11033.040039,10728.030273,11010.070313,10853.549805,67,0.05201577539762089,16782
2020-09-14,,11118.290039,10982.259766,11010.139648,11056.650391,83,0.04031093678101012,22429
2020-09-15,819300,11244.459961,11127.980469,11193.959961,11190.320313,77,0.05806730893000717,201123
2020-09-16,806741,11245.419922,11046.429688,11222.080078,11050.469727,67,0.04995258458181624,35246
2020-09-17,851897,10974.450195,10783.80957,10796.049805,10910.280273,68,0.041543900252793656,194870
2020-09-18,865109,10977.679688,10639.950195,10973.450195,10793.280273,69,0.05719355472572982,18867
2020-09-21,691538,10782.740234,10519.490234,10610.139648,10778.799805,71,0.05779376532247557,21464
2020-09-22,819824,10979.650391,10737.519531,10873.299805,10963.639648,68,0.054040516737716905,164440
2020-09-23,821311,10962.030273,10612.910156,10950.820313,10632.990234,67,0.06559960073050004,35326
